"Species" "Domain" "Min.sup" "Max.sup" "Classif" "NaCl." "Unit" "Year" "Genus" "Family" "Order" "Class" "Phylum" "Kingdom"
"355" "Shewanella aquimarina" "B" 0 1.54004106776181 "Slight" "s" "p" 2004 "Shewanella" "Shewanellaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"356" "Shewanella marisflavi" "B" 0 1.54004106776181 "Slight" "s" "p" 2004 "Shewanella" "Shewanellaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"357" "Sulfitobacter porphyrae" "B" 0.171115674195756 1.54004106776181 "No Class" "s" "p" 2014 "Sulfitobacter" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"358" "Acuticoccus mangrovi" "B" 0.171115674195756 1.71115674195756 "Moderate" "s" "p" 2021 "Acuticoccus" "Acuticoccaceae" "Hyphomicrobiales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"359" "Arenibacterium halophilum" "B" 0 1.71115674195756 "Tolerant" "s" "p" 2020 "Arenibacterium" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"360" "Bacillus seohaeanensis" "B" 0 1.71115674195756 "Tolerant" "s" "p" 2006 "Bacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"361" "Cyclobacterium xiamenense" "B" 0.171115674195756 1.71115674195756 "Slight" "s" "p" 2014 "Cyclobacterium" "Cyclobacteriaceae" "Cytophagales" "Cytophagia" "Bacteroidota" "Pseudomonadati"
"362" "Fusibacter paucivorans" "B" 0 1.71115674195756 "Tolerant" "s" "p" 1999 "Fusibacter" "Incertae sedis" "Eubacteriales" "Clostridia" "Bacillota" "Bacillati"
"363" "Fusibacter tunisiensis" "B" 0 1.71115674195756 "Tolerant" "s" "p" 2012 "Fusibacter" "Incertae sedis" "Eubacteriales" "Clostridia" "Bacillota" "Bacillati"
"364" "Halopseudomonas salegens" "B" 0.171115674195756 1.71115674195756 "Slight" "s" "p" 2014 "Halopseudomonas" "Pseudomonadaceae" "Pseudomonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"365" "Halotia wernerae" "B" 0.171115674195756 1.71115674195756 "Slight" "s" "p" 2015 "Halotia" "Nodulariaceae" "Nostocales" "Cyanophyceae" "Cyanobacteriota" "Bacillati"
"366" "Kordiimonas lipolytica" "B" 0.0855578370978782 1.71115674195756 "Slight" "s" "p" 2016 "Kordiimonas" "Temperatibacteraceae" "Kordiimonadales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"367" "Lysinibacillus halotolerans" "B" 0 1.71115674195756 "Tolerant" "s" "p" 2014 "Lysinibacillus" "Caryophanaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"369" "Marinobacter zhejiangensis" "B" 0.0855578370978782 1.71115674195756 "No Class" "s" "p" 2008 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"370" "Marinomonas dokdonensis" "B" 0.0855578370978782 1.71115674195756 "Slight" "s" "p" 2005 "Marinomonas" "Oceanospirillaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"371" "Marinomonas ostreistagni" "B" 0.171115674195756 1.71115674195756 "No Class" "s" "p" 2006 "Marinomonas" "Oceanospirillaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"372" "Marinospirillum insulare" "B" 0.0855578370978782 1.71115674195756 "No Class" "s" "p" 2004 "Marinospirillum" "Oceanospirillaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"374" "Motilimonas cestriensis" "B" 0.0855578370978782 1.71115674195756 "Slight" "s" "p" 2021 "Motilimonas" "Incertae sedis" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"375" "Oceanisphaera litoralis" "B" 0.0855578370978782 1.71115674195756 "Moderate" "s" "p" 2003 "Oceanisphaera" "Aeromonadaceae" "Aeromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"376" "Paramesonia marina" "B" 0.0855578370978782 1.71115674195756 "Moderate" "s" "p" 2020 "Paramesonia" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"377" "Polygonibacillus indicireducens" "B" 0 1.71115674195756 "No Class" "s" "p" 2016 "Polygonibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"378" "Pontibaca methylaminivorans" "B" 0.0855578370978782 1.71115674195756 "Slight" "s" "p" 2010 "Pontibaca" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"379" "Pseudooceanicola antarcticus" "B" 0.0855578370978782 1.71115674195756 "Moderate" "s" "p" 2014 "Pseudooceanicola" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"380" "Psychrobacter jeotgali" "B" 0 1.71115674195756 "Moderate" "s" "p" 2003 "Psychrobacter" "Moraxellaceae" "Pseudomonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"383" "Rhodovulum tesquicola" "B" 0.0513347022587269 1.71115674195756 "No Class" "s" "p" 2012 "Rhodovulum" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"384" "Roseovarius ramblicola" "B" 0.0855578370978782 1.71115674195756 "Moderate" "s" "p" 2018 "Roseovarius" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"385" "Salinimicrobium profundisediminis" "B" 0 1.71115674195756 "No Class" "s" "p" 2023 "Salinimicrobium" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"386" "Salinimicrobium xinjiangense" "B" 0.0855578370978782 1.71115674195756 "Moderate" "s" "p" 2008 "Salinimicrobium" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"387" "Salinispirillum marinum" "B" 0.171115674195756 1.71115674195756 "No Class" "s" "p" 2014 "Salinispirillum" "Natronospirillaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"388" "Spongiibacter taiwanensis" "B" 0.0855578370978782 1.71115674195756 "No Class" "s" "p" 2016 "Spongiibacter" "Spongiibacteraceae" "Cellvibrionales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"389" "Myceligenerans cantabricum" "B" 0.0855578370978782 1.79671457905544 "Tolerant" "s" "p" 2015 "Myceligenerans" "Promicromonosporaceae" "Micrococcales" "Actinomycetes" "Actinomycetota" "Bacillati"
"390" "Dethiosulfovibrio peptidovorans" "B" 0 1.88227241615332 "Slight" "s" "p" 1997 "Dethiosulfovibrio" "Dethiosulfovibrionaceae" "Synergistales" "Synergistia" "Synergistota" "Thermotogati"
"391" "Gracilibacillus boraciitolerans" "B" 0 1.88227241615332 "Tolerant" "s" "p" 2007 "Gracilibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"393" "Microbulbifer harenosus" "B" 0.342231348391513 1.88227241615332 "No Class" "s" "p" 2020 "Microbulbifer" "Microbulbiferaceae" "Cellvibrionales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"394" "Nitrincola iocasae" "B" 0.171115674195756 1.88227241615332 "Slight" "s" "p" 2020 "Nitrincola" "Oceanospirillaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"395" "Oceanobacillus chironomi" "B" 0 1.88227241615332 "Tolerant" "s" "p" 2007 "Oceanobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"397" "Pseudidiomarina halophila" "B" 0.0855578370978782 1.88227241615332 "Slight" "s" "p" 2015 "Pseudidiomarina" "Idiomarinaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"398" "Algiphilus aromaticivorans" "B" 0 2.05338809034908 "Slight" "s" "p" 2012 "Algiphilus" "Algiphilaceae" "Nevskiales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"399" "Alkalispirochaeta americana" "B" 0.342231348391513 2.05338809034908 "No Class" "s" "p" 2003 "Alkalispirochaeta" "Spirochaetaceae" "Spirochaetales" "Spirochaetia" "Spirochaetota" "Pseudomonadati"
"400" "Desulfonatronovibrio hydrogenovorans" "B" 0.171115674195756 2.05338809034908 "Slight" "s" "p" 1997 "Desulfonatronovibrio" "Desulfohalobiaceae" "Desulfovibrionales" "Deltaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"401" "Hwanghaeella grinnelliae" "B" 0 2.05338809034908 "Moderate" "s" "p" 2019 "Hwanghaeella" "Rhodospirillaceae" "Rhodospirillales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"402" "Maridesulfovibrio salinus" "B" 0.171115674195756 2.05338809034908 "Slight" "s" "p" 2018 "Maridesulfovibrio" "Desulfovibrionaceae" "Desulfovibrionales" "Deltaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"403" "Marinimicrobium koreense" "B" 0 2.05338809034908 "Tolerant" "s" "p" 2006 "Marinimicrobium" "Cellvibrionaceae" "Cellvibrionales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"404" "Nesterenkonia aethiopica" "B" 0.513347022587269 2.05338809034908 "Moderate" "s" "p" 2006 "Nesterenkonia" "Micrococcaceae" "Micrococcales" "Actinomycetes" "Actinomycetota" "Bacillati"
"405" "Oceanobacillus polygoni" "B" 0.513347022587269 2.05338809034908 "No Class" "s" "p" 2013 "Oceanobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"406" "Psychrobacter alimentarius" "B" 0 2.05338809034908 "Moderate" "s" "p" 2005 "Psychrobacter" "Moraxellaceae" "Pseudomonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"407" "Psychrobacter aquimaris " "B" 0 2.05338809034908 "Slight" "s" "p" 2005 "Psychrobacter" "Moraxellaceae" "Pseudomonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"408" "Sinomicrobium weinanense" "B" 0 2.05338809034908 "No Class" "s" "p" 2022 "Sinomicrobium" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"409" "Zunongwangia mangrovi" "B" 0.0513347022587269 2.05338809034908 "Slight" "s" "p" 2014 "Zunongwangia" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"410" "Marinobacter fuscus" "B" 0 2.13894592744695 "No Class" "s" "p" 2018 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"411" "Nocardia halotolerans" "B" 0 2.13894592744695 "Tolerant" "s" "p" 2015 "Nocardia" "Nocardiaceae" "Mycobacteriales" "Actinomycetes" "Actinomycetota" "Bacillati"
"412" "Nosocomiicoccus ampullae" "B" 0 2.39561943874059 "Moderate" "s" "p" 2008 "Nosocomiicoccus" "Staphylococcaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"413" "Oceanobacillus profundus" "B" 0 2.39561943874059 "Tolerant" "s" "p" 2007 "Oceanobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"414" "Psychroflexus planctonicus" "B" 0.0855578370978782 2.39561943874059 "Moderate" "s" "p" 2017 "Psychroflexus" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"415" "Psychroflexus salis" "B" 0.0855578370978782 2.39561943874059 "Moderate" "s" "p" 2016 "Psychroflexus" "Flavobacteriaceae" "Flavobacteriales" "Flavobacteriia" "Bacteroidota" "Pseudomonadati"
"416" "Serinicoccus marinus" "B" 0 2.39561943874059 "Moderate" "s" "p" 2004 "Serinicoccus" "Ornithinimicrobiaceae" "Micrococcales" "Actinomycetes" "Actinomycetota" "Bacillati"
"417" "Alcanivorax jadensis" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p" 1999 "Alcanivorax" "Alcanivoracaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"418" "Alcanivorax marinus" "B" 0.0855578370978782 2.56673511293635 "No Class" "s" "p" 2013 "Alcanivorax" "Alcanivoracaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"419" "Aliidiomarina iranensis" "B" 0.171115674195756 2.56673511293635 "Slight" "s" "p" 2016 "Aliidiomarina" "Idiomarinaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"420" "Bacillus salacetis" "B" 0 2.56673511293635 "Slight" "s" "p" 2019 "Bacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"421" "Georgenia halotolerans" "B" 0 2.56673511293635 "Tolerant" "s" "p" 2023 "Georgenia" "Bogoriellaceae" "Micrococcales" "Actinomycetes" "Actinomycetota" "Bacillati"
"422" "Gracilibacillus alcaliphilus" "B" 0 2.56673511293635 "No Class" "s" "p" 2014 "Gracilibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"423" "Gracilibacillus ureilyticus" "B" 0 2.56673511293635 "Tolerant" "s" "p" 2010 "Gracilibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"424" "Halomonas getboli" "B" 0.171115674195756 2.56673511293635 "Tolerant" "s" "p" 2022 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"425" "Halotalea alkalilenta" "B" 0 2.56673511293635 "Tolerant" "s" "p" 2007 "Halotalea" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"426" "Jeotgalibacillus campisalis" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p" 2004 "Jeotgalibacillus" "Caryophanaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"427" "Marinobacter iranensis" "B" 0.0855578370978782 2.56673511293635 "Slight" "s" "p" 2023 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"428" "Marinobacter salexigens" "B" 0.0855578370978782 2.56673511293635 "Moderate" "s" "p" 2017 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"429" "Microbulbifer zhoushanensis" "B" 0.171115674195756 2.56673511293635 "Tolerant" "s" "p" 2023 "Microbulbifer" "Microbulbiferaceae" "Cellvibrionales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"430" "Planococcus halotolerans" "B" 0 2.56673511293635 "Tolerant" "s" "p" 2018 "Planococcus" "Caryophanaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"431" "Pseudoalteromonas issachenkonii" "B" 0.0855578370978782 2.56673511293635 "No Class" "s" "p" 2002 "Pseudoalteromonas" "Pseudoalteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"432" "Salipiger bermudensis" "B" 0.0427789185489391 2.56673511293635 "Slight" "s" "p" 2006 "Salipiger" "Roseobacteraceae" "Rhodobacterales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"433" "Alcanivorax gelatiniphagus" "B" 0.0855578370978782 2.7378507871321 "No Class" "s" "p" 2015 "Alcanivorax" "Alcanivoracaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"434" "Alteribacter keqinensis" "B" 0 2.7378507871321 "Moderate" "s" "p" 2022 "Alteribacter" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"435" "Jeotgalicoccus aerolatus" "B" 0.0171115674195756 2.7378507871321 "Slight" "s" "p" 2011 "Jeotgalicoccus" "Staphylococcaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"436" "Psychrobacter celer" "B" 0 2.7378507871321 "Slight" "s" "p" 2005 "Psychrobacter" "Moraxellaceae" "Pseudomonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"437" "Alkalibacterium subtropicum" "B" 0 2.90896646132786 "Slight" "s" "p" 2011 "Alkalibacterium" "Carnobacteriaceae" " Lactobacillales" "Bacilli" "Bacillota" "Bacillati"
"438" "Lacticigenium naphthae" "B" 0 2.90896646132786 "Tolerant" "s" "p" 2009 "Lacticigenium" "Carnobacteriaceae" "Lactobacillales" "Bacilli" "Bacillota" "Bacillati"
"439" "Paraliobacillus zengyii" "B" 0 2.90896646132786 "Slight" "s" "p" 2019 "Paraliobacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"440" "Marinobacter mangrovi" "B" 0 3.08008213552361 "Tolerant" "s" "p" 2021 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"441" "Pontibacillus salipaludis" "B" 0.171115674195756 3.25119780971937 "Slight" "s" "p" 2016 "Pontibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"442" "Psychrobacter namhaensis" "B" 0 3.25119780971937 "Slight" "s" "p" 2005 "Psychrobacter" "Moraxellaceae" "Pseudomonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"443" "Halomonas andesensis" "B" 0.0855578370978782 3.42231348391513 "Moderate" "s" "p" 2010 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"444" "Halomonas salifodinae" "B" 0.0855578370978782 3.42231348391513 "No Class" "s" "p" 2008 "Halomonas" "Halomonadaceae" "Oceanospirillales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"445" "Halospirulina tapeticola" "B" 0.513347022587269 3.42231348391513 "Tolerant" "s" "p" 2000 "Halospirulina" "Spirulinaceae" "Spirulinales" "Cyanophyceae" "Cyanobacteriota" "Bacillati"
"446" "Marinobacter halotolerans" "B" 0.0855578370978782 3.42231348391513 "Moderate" "s" "p" 2017 "Marinobacter" "Alteromonadaceae" "Alteromonadales" "Gammaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"447" "Gracilibacillus kekensis" "B" 0 3.76454483230664 "Moderate" "s" "p" 2012 "Gracilibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"448" "Halolactibacillus halophilus" "B" 0 4.10677618069815 "Slight" "s" "p" 2005 "Halolactibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"450" "Parvularcula bermudensis" "B" 0.128336755646817 4.27789185489391 "Moderate" "s" "p" 2003 "Parvularcula" "Parvularculaceae" "Parvularculales" "Alphaproteobacteria" "Pseudomonadota" "Pseudomonadati"
"451" "Salinicoccus qingdaonensis" "B" 0 4.27789185489391 "Moderate" "s" "p" 2012 "Salinicoccus" "Staphylococcaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"452" "Halolactibacillus miurensis" "B" 0 4.36344969199179 "Slight" "s" "p" 2005 "Halolactibacillus" "Bacillaceae" "Caryophanales" "Bacilli" "Bacillota" "Bacillati"
"461" "Halosimplex rubrum" "A" 0.9 3.4 "Extreme" "s" "m" 2014 "Halosimplex" "Haloarculaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"462" "Halogeometricum pallidum" "A" 1.3 4.3 "Extreme" "s" "m" 2008 "Halogeometricum" "Haloferacaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"463" "Haloplanus vescus" "A" 2.6 4.3 "Extreme" "s" "m" 2010 "Haloplanus" "Haloferacaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"464" "Natronorubrum aibiense" "A" 2 4.3 "Extreme" "s" "m" 2006 "Natronorubrum" "Natrialbaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"465" "Haloplanus salinarum" "A" 2.5 4.5 "Extreme" "s" "m" 2017 "Haloplanus" "Haloferacaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"466" "Halobacterium wangiae" "A" 1.4 4.8 "Extreme" "s" "m" 2023 "Halobacterium" "Halobacteriaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"467" "Halohasta salina" "A" 1.4 4.8 "No Class" "s" "m" 2023 "Halohasta" "Haloferacaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"468" "Halorussus litoreus" "A" 0.9 4.8 "No Class" "s" "m" 2019 "Halorussus" "Halobacteriaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"469" "Halorussus marinus" "A" 0.9 4.8 "No Class" "s" "m" 2022 "Halorussus" "Halobacteriaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"470" "Halosimplex salinum" "A" 2.1 4.8 "No Class" "s" "m" 2021 "Halosimplex" "Haloarculaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"471" "Halosolutus amylolyticus" "A" 2 4.8 "Extreme" "s" "m" 2022 "Halosolutus" "Natrialbaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"472" "Halosolutus gelatinilyticus" "A" 1.4 4.8 "Extreme" "s" "m" 2022 "Halosolutus" "Natrialbaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"473" "Halosolutus halophilus" "A" 1.7 4.8 "Extreme" "s" "m" 2022 "Halosolutus" "Natrialbaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"474" "Halostella limicola" "A" 1.7 4.8 "No Class" "s" "m" 2019 "Halostella" "Natronoarchaeaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"475" "Natrinema amylolyticum" "A" 1.4 4.8 "Extreme" "s" "m" 2022 "Natrinema" "Natrialbaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"476" "Natronosalvus rutilus" "A" 0.9 4.8 "No Class" "s" "m" 2023 "Natronosalvus" "Natrialbaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"477" "Salinibaculum litoreum" "A" 0.9 4.8 "No Class" "s" "m" 2020 "Salinibaculum" "Halobacteriaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"478" "Salinigranum rubrum" "A" 1.4 4.8 "Extreme" "s" "m" 2014 "Salinigranum" "Haloferacaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"479" "Haladaptatus paucihalophilus" "A" 0.8 5.1 "Extreme" "s" "m" 2007 "Haladaptatus" "Halobacteriaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"480" "Natrinema limicola" "A" 1.7 5.1 "Extreme" "s" "m" 2006 "Natrinema" "Natrialbaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"481" "Salinarchaeum chitinilyticum" "A" 1.5 5.1 "No Class" "s" "m" 2017 "Salinarchaeum" "Natronoarchaeaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"482" "Haloarcula amylolytica" "A" 2 5.1 "Extreme" "s" "m" 2007 "Haloarcula" "Haloarculaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"483" "Natrinema hispanicum" "A" 2.2 4 "Extreme" "s" "m" 2007 "Natrinema" "Natrialbaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"484" "Halobacterium zhouii" "A" 1.7 4.3 "Extreme" "s" "m" 2023 "Halobacterium" "Halobacteriaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"485" "Halovivax asiaticus" "A" 2.5 4.3 "Extreme" "s" "m" 2006 "Halovivax" "Natrialbaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"486" "Natronobacterium texcoconense" "A" 1.7 4.3 "No Class" "s" "m" 2013 "Natronobacterium" "Natrialbaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"487" "Haloarcula marina" "A" 2.6 4.8 "Extreme" "s" "m" 2023 "Haloarcula" "Haloarculaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"488" "Haloferax larsenii" "A" 1 4.8 "Extreme" "s" "m" 2007 "Haloferax" "Haloferacaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"489" "Halosimplex pelagicum" "A" 1.4 4.8 "Extreme" "s" "m" 2014 "Halosimplex" "Haloarculaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"490" "Natronosalvus amylolyticus" "A" 0.9 4.8 "No Class" "s" "m" 2023 "Natronosalvus" "Natrialbaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"491" "Salinirussus salinus" "A" 2.6 4.8 "No Class" "s" "m" 2017 "Salinirussus" "Haloarculaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"492" "Halorubrum aquaticum" "A" 2.5 5 "No Class" "s" "m" 2011 "Halorubrum" "Haloferacaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"493" "Halorubrum ejinorense" "A" 2.5 5 "No Class" "s" "m" 2007 "Halorubrum" "Haloferacaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"494" "Halorubrum kocurii" "A" 2.5 5 "Extreme" "s" "m" 2008 "Halorubrum" "Haloferacaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"495" "Halorubrum orientale" "A" 2.5 5 "No Class" "s" "m" 2006 "Halorubrum" "Haloferacaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"496" "Halostagnicola larsenii" "A" 2.5 5 "Extreme" "s" "m" 2006 "Halostagnicola" "Natrialbaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"497" "Haloterrigena salina" "A" 2.5 5 "Extreme" "s" "m" 2008 "Haloterrigena" "Natrialbaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"498" "Natronorubrum sediminis" "A" 2.5 5 "Extreme" "s" "m" 2010 "Natronorubrum" "Natrialbaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"499" "Haladaptatus litoreus" "A" 1.7 5.1 "Extreme" "s" "m" 2010 "Haladaptatus" "Halobacteriaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"500" "Halobellus salinus" "A" 2.6 5.1 "No Class" "s" "m" 2012 "Halobellus" "Haloferacaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
"501" "Haloferax elongans" "A" 1.7 5.1 "Extreme" "s" "m" 2008 "Haloferax" "Haloferacaceae" "Halobacteriales" "Halobacteria" "Methanobacteriota" "Methanobacteriati"
